start_time,end_time,root_cause,affected,category
2023-01-12 15:11:45,2023-01-12 15:20:05,bso3,['cfo1'],12
2023-01-12 16:27:46,2023-01-12 17:51:06,bso3,['cfo1'],1
2023-01-12 18:19:35,2023-01-12 18:36:15,bfo2,['cso1'],8
2023-01-12 20:46:32,2023-01-12 20:51:32,bed2,['ced1'],7
2023-01-13 05:57:10,2023-01-13 06:02:10,bfo1,['cfo1'],9
2023-01-13 10:33:15,2023-01-13 10:44:55,bso1,['cfo1'],4
2023-01-13 17:15:06,2023-01-13 17:20:06,bfo2,['cso1'],3
2023-01-13 23:08:25,2023-01-13 23:15:05,bfo1,['cfo1'],8
2023-01-14 01:14:42,2023-01-14 01:26:22,bso2,['cso1'],5
2023-01-14 13:47:24,2023-01-14 13:55:44,bed2,['ced1'],11
2023-01-14 14:10:27,2023-01-14 14:15:27,bso1,['cfo1'],8
2023-01-14 18:13:13,2023-01-14 18:24:53,bfo2,['cso1'],10
2023-01-14 21:14:17,2023-01-14 21:30:57,bso2,['cso1'],2
2023-01-14 22:26:44,2023-01-14 22:31:44,bfo2,['cso1'],2
2023-01-14 23:35:17,2023-01-14 23:40:17,bso1,['cfo1'],2
2023-01-15 01:04:48,2023-01-15 01:13:08,bed1,['ced1'],4
2023-01-15 01:56:53,2023-01-15 02:08:33,bso3,['cfo1'],4
2023-01-15 03:16:14,2023-01-15 04:39:34,bfo1,['cfo1'],1
2023-01-15 09:57:07,2023-01-15 10:05:27,bed1,['ced1'],9
2023-01-15 13:00:13,2023-01-15 13:05:13,bfo2,['cso1'],13
2023-01-16 03:27:39,2023-01-16 03:32:39,bed2,['ced1'],13
2023-01-16 08:54:59,2023-01-16 09:03:19,bso3,['cfo1'],9
2023-01-16 21:16:19,2023-01-16 21:22:59,bfo2,['cso1'],3
2023-01-17 01:05:07,2023-01-17 02:28:27,bed1,['ced1'],12
2023-01-17 03:42:44,2023-01-17 03:47:44,bed2,['ced1'],7
2023-01-17 06:53:50,2023-01-17 06:58:50,bed2,['ced1'],3
2023-01-17 10:35:15,2023-01-17 10:46:55,bed1,['ced1'],13
2023-01-17 12:27:30,2023-01-17 12:34:10,bfo2,['cso1'],3
2023-01-17 14:38:04,2023-01-17 14:46:24,bed2,['ced1'],10
2023-01-17 17:12:55,2023-01-17 17:17:55,bed1,['ced1'],12
2023-01-17 19:56:12,2023-01-17 20:07:52,bso2,['cso1'],5
2023-01-17 20:09:06,2023-01-17 20:20:46,bso3,['cfo1'],8
2023-01-18 03:34:20,2023-01-18 03:46:00,bso1,['cfo1'],4
2023-01-18 21:53:05,2023-01-18 21:58:05,bso2,['cso1'],13
2023-01-19 03:12:52,2023-01-19 03:19:32,bed2,['ced1'],8
2023-01-19 05:40:39,2023-01-19 05:45:39,bso1,['cfo1'],2
2023-01-19 17:44:54,2023-01-19 17:53:14,bso2,['cso1'],10
2023-01-20 16:44:57,2023-01-20 16:49:57,bso3,['cfo1'],9
2023-01-20 17:02:19,2023-01-20 17:08:59,bfo1,['cfo1'],3
2023-01-20 17:39:39,2023-01-20 17:51:19,bso3,['cfo1'],9
2023-01-20 21:13:23,2023-01-20 21:30:03,bfo1,['cfo1'],8
2023-01-20 22:27:43,2023-01-20 22:36:03,bed2,['ced1'],3
2023-01-21 00:03:36,2023-01-21 00:15:16,bso2,['cso1'],3
2023-01-21 06:56:49,2023-01-21 07:03:29,bso1,['cfo1'],8
2023-01-21 12:45:18,2023-01-21 12:51:58,bed1,['ced1'],10
2023-01-21 17:36:42,2023-01-21 17:48:22,bed1,['ced1'],5
2023-01-21 23:29:51,2023-01-21 23:38:11,bed2,['ced1'],6
2023-01-22 08:34:40,2023-01-22 09:58:00,bfo1,['cfo1'],11
2023-01-22 14:37:34,2023-01-22 14:44:14,bed1,['ced1'],12
2023-01-23 15:02:17,2023-01-23 16:25:37,bso3,['cfo1'],6
2023-01-23 23:10:55,2023-01-23 23:17:35,bfo2,['cso1'],8
2023-01-24 00:11:52,2023-01-24 00:28:32,bed2,['ced1'],2
2023-01-24 01:17:51,2023-01-24 01:26:11,bso3,['cfo1'],8
2023-01-24 03:26:48,2023-01-24 04:50:08,bfo2,['cso1'],8
2023-01-24 06:31:32,2023-01-24 06:48:12,bed1,['ced1'],6
2023-01-24 11:37:08,2023-01-24 11:45:28,bfo2,['cso1'],10
2023-01-24 11:50:21,2023-01-24 12:07:01,bed1,['ced1'],4
2023-01-24 16:51:36,2023-01-24 16:58:16,bfo1,['cfo1'],4
2023-01-25 08:44:04,2023-01-25 08:52:24,bso1,['cfo1'],6
2023-01-25 14:34:05,2023-01-25 14:39:05,bfo2,['cso1'],13
2023-01-25 19:02:03,2023-01-25 19:10:23,bed1,['ced1'],6
2023-01-25 21:10:56,2023-01-25 21:27:36,bso1,['cfo1'],8
2023-01-26 02:42:10,2023-01-26 02:48:50,bfo1,['cfo1'],12
2023-01-26 04:19:02,2023-01-26 04:35:42,bso1,['cfo1'],7
2023-01-26 13:01:56,2023-01-26 13:08:36,bed1,['ced1'],2
